Item,Frequency,Condition,HighLowFreq
flop,2.11,Target,na
bluff,0.09,Target,na
roam,2.4,Target,na
shirk,0,Target,na
lynch,3.91,Target,na
twitch,2.16,Target,na
cheer,8.32,Target,na
thrill,5.22,Target,na
lick,3.09,Target,na
flare,5.54,Target,na
tug,5.66,Target,na
loathe,1.76,Target,na
creak,1.47,Target,na
rave,3.78,Target,na
growl,1.47,Target,na
cull,0.9,Target,na
bleach,2.58,Target,na
hurl,1.04,Target,na
thrash,2.59,Target,na
drip,2.76,Target,na
flopped,2.1,MorphPrime,na
bluffed,0.74,MorphPrime,na
roamed,1.65,MorphPrime,na
shirked,0.12,MorphPrime,na
lynched,0.22,MorphPrime,na
twitched,2.63,MorphPrime,na
cheered,4.74,MorphPrime,na
thrilled,5.03,MorphPrime,na
licked,4.11,MorphPrime,na
flared,14.29,MorphPrime,na
tugged,4.5,MorphPrime,na
loathed,1.67,MorphPrime,na
creaked,1.74,MorphPrime,na
raved,0.25,MorphPrime,na
growled,4.69,MorphPrime,na
culled,1.23,MorphPrime,na
bleached,2.19,MorphPrime,na
hurled,4.67,MorphPrime,na
thrashed,4.48,MorphPrime,na
dripped,1.47,MorphPrime,na
swap,5.62,RhymePrime,na
scuff,3.51,RhymePrime,na
comb,4.23,RhymePrime,na
perk,1.2,RhymePrime,na
flinch,1.57,RhymePrime,na
stitch,9.39,RhymePrime,na
steer,5.89,RhymePrime,na
drill,10.12,RhymePrime,na
tick,5.21,RhymePrime,na
scare,3.26,RhymePrime,na
hug,3.66,RhymePrime,na
clothe,0.97,RhymePrime,na
shriek,1.85,RhymePrime,na
pave,1.08,RhymePrime,na
scowl,1.44,RhymePrime,na
lull,2.26,RhymePrime,na
preach,3.12,RhymePrime,na
swirl,1.39,RhymePrime,na
slash,1.81,RhymePrime,na
skip,5.36,RhymePrime,na
swapped,1.82,MorphRhymePrime,na
scuffed,0.14,MorphRhymePrime,na
combed,1.76,MorphRhymePrime,na
perked,0,MorphRhymePrime,na
flinched,2.44,MorphRhymePrime,na
stitched,2.17,MorphRhymePrime,na
steered,3.6,MorphRhymePrime,na
drilled,3.98,MorphRhymePrime,na
ticked,2.01,MorphRhymePrime,na
scared,5.71,MorphRhymePrime,na
hugged,4.55,MorphRhymePrime,na
clothed,3.17,MorphRhymePrime,na
shrieked,2.19,MorphRhymePrime,na
paved,4.02,MorphRhymePrime,na
scowled,2.29,MorphRhymePrime,na
lulled,0.87,MorphRhymePrime,na
preached,3.67,MorphRhymePrime,na
swirled,1.83,MorphRhymePrime,na
slashed,2,MorphRhymePrime,na
skipped,2.31,MorphRhymePrime,na
cluck,0.11,ControlPresentPrime,na
clucked,0.27,ControlPastPrime,na
pricked,1.64,ControlPastPrime,na
dubbed,5.04,ControlPastPrime,na
dunked,0.18,ControlPastPrime,na
yanked,1.24,ControlPastPrime,na
plucked,4.36,ControlPastPrime,na
blurred,5.81,ControlPastPrime,na
quizzed,1.33,ControlPastPrime,na
joked,3.27,ControlPastPrime,na
bloomed,0.62,ControlPastPrime,na
banned,19.98,ControlPastPrime,na
bailed,1.16,ControlPastPrime,na
hacked,1.78,ControlPastPrime,na
hummed,1.39,ControlPastPrime,na
blazed,2.68,ControlPastPrime,na
begged,5.91,ControlPastPrime,na
scooped,2.82,ControlPastPrime,na
jabbed,1.38,ControlPastPrime,na
clipped,4.84,ControlPastPrime,na
flapped,4.45,ControlPastPrime,na
It,0.11,ControlPresentPrime,na
prick,2.16,ControlPresentPrime,na
dub,0,ControlPresentPrime,na
dunk,0,ControlPresentPrime,na
yank,0.67,ControlPresentPrime,na
pluck,1.61,ControlPresentPrime,na
blur,3.7,ControlPresentPrime,na
quiz,4.74,ControlPresentPrime,na
joke,22.01,ControlPresentPrime,na
bloom,5.9,ControlPresentPrime,na
ban,34.06,ControlPresentPrime,na
bail,10.91,ControlPresentPrime,na
hack,2.74,ControlPresentPrime,na
hum,3.65,ControlPresentPrime,na
blaze,8.17,ControlPresentPrime,na
beg,7.57,ControlPresentPrime,na
scoop,3.31,ControlPresentPrime,na
jab,1.3,ControlPresentPrime,na
clip,3.98,ControlPresentPrime,na
flap,1.57,ControlPresentPrime,na
queue,10.04,Target,na
lie,54.93,Target,na
peel,7.79,Target,na
sniff,3.27,Target,na
gel,7.42,Target,na
scan,6.99,Target,na
neigh,0,Target,na
jar,6.28,Target,na
sew,3.5,Target,na
stuff,47.83,Target,na
stun,0.93,Target,na
foal,2.47,Target,na
guess,27.64,Target,na
grace,25.24,Target,na
shine,8.38,Target,na
chewed,3.46,RhymePrime,na
fried,4.35,RhymePrime,na
kneeled,0.21,RhymePrime,na
miffed,0.5,RhymePrime,na
quelled,0.54,RhymePrime,na
planned,62.64,RhymePrime,na
paid,150.94,RhymePrime,na
starred,2.3,RhymePrime,na
thawed,0.89,RhymePrime,na
mowed,0.33,RhymePrime,na
huffed,0.26,RhymePrime,na
shunned,1.3,RhymePrime,na
rolled,22.29,RhymePrime,na
dressed,39.43,RhymePrime,na
chased,6.34,RhymePrime,na
dined,2.13,RhymePrime,na
lewd,0.68,FalseDecompRhymePrime,na
slide,16.24,FalseDecompRhymePrime,na
wield,1.69,FalseDecompRhymePrime,na
rift,4.93,FalseDecompRhymePrime,na
weld,1.44,FalseDecompRhymePrime,na
brand,16.91,FalseDecompRhymePrime,na
wade,4.72,FalseDecompRhymePrime,na
card,53.01,FalseDecompRhymePrime,na
cord,7.3,FalseDecompRhymePrime,na
bode,0.6,FalseDecompRhymePrime,na
tuft,0.69,FalseDecompRhymePrime,na
fund,64.35,FalseDecompRhymePrime,na
bold,13.84,FalseDecompRhymePrime,na
chest,39.39,FalseDecompRhymePrime,na
haste,4.75,FalseDecompRhymePrime,na
wind,79.44,FalseDecompRhymePrime,na
bowed,9.44,Control,na
brewed,1.72,Control,na
chained,2.65,Control,na
dashed,6.88,Control,na
plugged,2.47,Control,na
farmed,2.55,Control,na
booed,0.79,Control,na
charged,50.87,Control,na
sighed,23.3,Control,na
keyed,0.7,Control,na
fished,3.76,Control,na
gagged,1.13,Control,na
carved,14.27,Control,na
cracked,10.45,Control,na
barked,3.59,Control,na
curved,11.84,Control,na
net,70.98,Target,HighFreq
shake,16.31,Target,HighFreq
row,54.14,Target,HighFreq
link,55.45,Target,HighFreq
mind,270.07,Target,HighFreq
live,171.48,Target,HighFreq
quell,1.49,Target,HighFreq
deep,114.25,Target,HighFreq
heave,2.24,Target,HighFreq
ring,60.51,Target,HighFreq
seat,65.4,Target,HighFreq
cold,120.18,Target,HighFreq
call,176.54,Target,HighFreq
pin,12.82,Target,HighFreq
grand,59.43,Target,HighFreq
get,708.58,RhymePrime,HighFreq
take,666.4,RhymePrime,HighFreq
